,Name of  movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection in millions,Director,Star,Genre
19,Buffalo Soldiers,2001,98 ,6.7,56        ,"25,490",$0.35M,Gregor Jordan,Joaquin Phoenix,Comedy
20,Wolf Creek,2005,99 ,6.2,56        ,"77,811",$16.19M,Greg McLean,Nathan Phillips,Horror
21,Four Lions,2010,97 ,7.3,68        ,"84,696",$0.30M,Christopher Morris,Will Adamsdale,Comedy
22,Dip huet seung hung,1989,111 ,7.8,82        ,"50,858",nan,John Woo,Chow Yun-Fat,Action
23,Say Anything...,1989,100 ,7.3,86        ,"95,419",$20.78M,Cameron Crowe,John Cusack,Comedy
24,The Insider,1999,157 ,7.8,85        ,"179,311",$28.97M,Michael Mann,Russell Crowe,Biography
25,Home Alone,1990,103 ,7.7,63        ,"649,030",$285.76M,Chris Columbus,Macaulay Culkin,Comedy
26,Dances with Wolves,1990,181 ,8,72        ,"288,055",$184.21M,Kevin Costner,Kevin Costner,Adventure
27,25th Hour,2002,135 ,7.6,69        ,"184,181",$13.06M,Spike Lee,Edward Norton,Drama            
28,Rosemary's Baby,1968,137 ,8,96        ,"233,384",nan,Roman Polanski,Mia Farrow,Drama
29,Easy Rider,1969,95 ,7.2,85        ,"116,403",$41.73M,Dennis Hopper,Peter Fonda,Adventure
30,Exit Through the Gift Shop,2010,87 ,7.9,85        ,"68,586",$3.29M,Banksy,Banksy,Documentary
31,A.I. Artificial Intelligence,2001,146 ,7.2,65        ,"321,533",$78.62M,Steven Spielberg,Haley Joel Osment,Drama
32,Total Recall,1990,113 ,7.5,60        ,"351,973",$119.39M,Paul Verhoeven,Arnold Schwarzenegger,Action
33,Side Effects, 2013,106 ,7.1,75        ,"196,636",$32.17M,Steven Soderbergh,Rooney Mara,Crime
34,Killer Joe,2011,102 ,6.7,62        ,"82,946",$1.99M,William Friedkin,Matthew McConaughey,Crime
35,The Queen of Versailles,2012,103 ,7.1,80        ,"13,674",$2.40M,Lauren Greenfield,Jaqueline Siegel,Documentary            
36,Taxi to the Dark Side,2007,106 ,7.5,82        ,"16,736",$0.27M,Alex Gibney,Alex Gibney,Documentary
37,Point Blank,1967,92 ,7.3,86        ,"23,038",nan,John Boorman,Lee Marvin,Crime
38,Back to the Future Part II,1989,108 ,7.8,57        ,"568,647",$118.50M,Robert Zemeckis,Michael J. Fox,Adventure
39,Leaving Las Vegas,1995,111 ,7.5,82        ,"133,614",$32.03M,Mike Figgis,Nicolas Cage,Drama
40,Poltergeist,1982,114 ,7.3,79        ,"178,417",$76.61M,Tobe Hooper,JoBeth Williams,Horror
41,Tinker Tailor Soldier Spy,2011,127 ,7,85        ,"211,465",$24.15M,Tomas Alfredson,Gary Oldman,Drama
42,The Searchers,1956,119 ,7.8,94        ,"95,613",nan,John Ford,John Wayne,Adventure
