,Name of  movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection in millions,Director,Star,Genre
88,X: First Class,2011,131 ,7.7,65        ,"720,041",$146.41M,Matthew Vaughn,James McAvoy,Action
89,Crash,1996,100 ,6.4,53        ,"65,843",$2.04M,David Cronenberg,James Spader,Drama            
90,Mona Lisa,1986,104 ,7.3,85        ,"18,554",$5.79M,Neil Jordan,Bob Hoskins,Crime
91,Pitch Black,2000,109 ,7,49        ,"251,984",$39.24M,David Twohy,Radha Mitchell,Action
92,"Synecdoche, New York",2008,124 ,7.5,67        ,"97,685",$3.08M,Charlie Kaufman,Philip Seymour Hoffman,Drama            
93,Us, 2019,116 ,6.8,81        ,"337,516",$175.08M,Jordan Peele,Lupita Nyong'o,Horror
94,The Town,2010,125 ,7.5,74        ,"413,185",$92.19M,Ben Affleck,Ben Affleck,Crime
95,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,97 ,7.3,67        ,"1,531",$0.14M,Paul Crowder,John Dower,Documentary
96,Mission: Impossible III,2006,126 ,6.9,66        ,"388,438",$134.03M,J.J. Abrams,Tom Cruise,Action
97,On Her Majesty's Secret Service,1969,142 ,6.7,61        ,"98,779",$22.80M,Peter R. Hunt,George Lazenby,Action
98,Ace Ventura: Pet Detective,1994,86 ,6.9,37        ,"322,828",$72.22M,Tom Shadyac,Jim Carrey,Comedy            
99,Sherlock Holmes,2009,128 ,7.6,57        ,"666,740",$209.03M,Guy Ritchie,Robert Downey Jr.,Action
0,Piranha 3D,2010,88 ,5.5,53        ,"96,124",$25.00M,Alexandre Aja,Elisabeth Shue,Comedy
1,Kingsman: The Secret Service,2014,129 ,7.7,60        ,"711,197",$128.26M,Matthew Vaughn,Colin Firth,Action
2,Song of the Sea,2014,93 ,8,85        ,"62,710",$0.86M,Tomm Moore,David Rawle,Animation
3,Creed, 2015,133 ,7.6,82        ,"308,872",$109.77M,Ryan Coogler,Michael B. Jordan,Action
4,Star Wars: Episode VIII - The Last Jedi,2017,152 ,6.9,84        ,"667,713",$620.18M,Rian Johnson,Daisy Ridley,Action
5,Hacksaw Ridge,2016,139 ,8.1,71        ,"586,978",$67.21M,Mel Gibson,Andrew Garfield,Biography
6,Dunkirk,2017,106 ,7.8,94        ,"731,909",$188.37M,Christopher Nolan,Fionn Whitehead,Action
7,Kinsey,2004,118 ,7.1,79        ,"50,826",$10.21M,Bill Condon,Liam Neeson,Biography
8,Gimme Shelter,1970,91 ,7.8,85        ,"12,796",$0.25M,Albert Maysles,David Maysles,Documentary
9,Frenzy,1972,116 ,7.4,92        ,"49,074",$12.60M,Alfred Hitchcock,Jon Finch,Thriller            
10,Amadeus,1984,160 ,8.4,87        ,"424,848",$51.97M,Milos Forman,F. Murray Abraham,Biography
11,Jodaeiye Nader az Simin,2011,123 ,8.3,95        ,"257,097",$7.10M,Asghar Farhadi,Payman Maadi,Drama            
12,Dallas Buyers Club,2013,117 ,7.9,77        ,"515,969",$27.30M,Jean-Marc Vallée,Matthew McConaughey,Biography
13,Die Hard with a Vengeance,1995,128 ,7.6,58        ,"406,345",$100.01M,John McTiernan,Bruce Willis,Action
14,Freeway,1996,102 ,6.8,61        ,"31,364",$0.30M,Matthew Bright,Reese Witherspoon,Crime
15,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,107 ,8.1,87        ,"24,952",$4.20M,Errol Morris,Robert McNamara,Documentary
16,Carlos,2010,334 ,7.6,94        ,"14,351",$0.15M,Edgar Ramírez,Alexander Scheer,Biography
17,Per qualche dollaro in più,1965,132 ,8.2,74        ,"272,598",$15.00M,Sergio Leone,Clint Eastwood,Drama
18,Ratatouille,2007,111 ,8.1,96        ,"814,701",$206.45M,Brad Bird,Jan Pinkava,Animation
19,The Funeral,1996,99 ,6.6,nan,"9,354",$1.23M,Abel Ferrara,Christopher Walken,Crime
20,The Devil's Advocate,1997,144 ,7.5,60        ,"399,122",$60.98M,Taylor Hackford,Keanu Reeves,Drama
21,The Player,1992,124 ,7.5,86        ,"65,350",$21.71M,Robert Altman,Tim Robbins,Comedy
22,Thank You for Smoking,2005,92 ,7.5,71        ,"228,197",$24.79M,Jason Reitman,Aaron Eckhart,Comedy
23,Seven Psychopaths,2012,110 ,7.1,66        ,"272,723",$15.02M,Martin McDonagh,Colin Farrell,Comedy
24,Skyfall,2012,143 ,7.8,81        ,"727,579",$304.36M,Sam Mendes,Daniel Craig,Action
25,Hereditary,2018,127 ,7.3,87        ,"372,370",$44.07M,Ari Aster,Toni Collette,Drama
26,Starred Up,2013,106 ,7.3,81        ,"48,442",$0.03M,David Mackenzie,Jack O'Connell,Crime
27,Paddington,2014,95 ,7.3,77        ,"132,276",$76.27M,Paul King,Hugh Bonneville,Adventure
28,Joe, 2013,117 ,6.8,74        ,"51,009",$0.37M,David Gordon Green,Nicolas Cage,Crime
29,Bloody Sunday,2002,111 ,7.6,90        ,"25,664",$0.77M,Paul Greengrass,James Nesbitt,Drama
30,Sen to Chihiro no kamikakushi,2001,125 ,8.6,96        ,"839,230",$10.06M,Hayao Miyazaki,Daveigh Chase,Animation
31,Neds,2010,124 ,6.9,nan,"8,755",nan,Peter Mullan,Conor McCarron,Drama            
32,Michael, 2011,96 ,6.9,64        ,"5,091",$0.02M,Markus Schleinzer,Kathrin Resetarits,Drama
33,The Shape of Water,2017,123 ,7.3,87        ,"444,928",$63.86M,Guillermo del Toro,Sally Hawkins,Drama
34,"Three Billboards Outside Ebbing, Missouri",2017,115 ,8.1,88        ,"550,317",$54.51M,Martin McDonagh,Frances McDormand,Comedy
35,Three Identical Strangers,2018,96 ,7.6,81        ,"38,788",$12.32M,Tim Wardle,Robert Shafran,Documentary
36,State of Play,2009,127 ,7.1,64        ,"159,698",$37.02M,Kevin Macdonald,Russell Crowe,Crime
37,The Wackness,2008,99 ,6.9,61        ,"31,214",$2.08M,Jonathan Levine,Josh Peck,Comedy
38,Dirty Rotten Scoundrels,1988,110 ,7.4,68        ,"77,462",$42.04M,Frank Oz,Steve Martin,Comedy
39,Los ojos de Julia,2010,118 ,6.7,nan,"37,245",nan,Guillem Morales,Belén Rueda,Horror
40,Ghostbusters II,1989,108 ,6.6,56        ,"221,184",$112.49M,Ivan Reitman,Bill Murray,Action
41,Jackass 3D,2010,94 ,7,56        ,"68,553",$117.22M,Jeff Tremaine,Johnny Knoxville,Documentary
42,Stake Land,2010,98 ,6.4,66        ,"43,994",$0.02M,Jim Mickle,Connor Paolo,Drama
43,No, 2012,118 ,7.4,81        ,"26,136",$2.34M,Pablo Larraín,Gael García Bernal,Drama
44,Empire of the Sun,1987,153 ,7.7,62        ,"133,596",$22.24M,Steven Spielberg,Christian Bale,Drama
45,Tombstone,1993,130 ,7.8,50        ,"164,525",$56.51M,George P. Cosmatos,Kevin Jarre,Biography
46,The Addiction,1995,82 ,6.4,nan,"11,426",$0.30M,Abel Ferrara,Lili Taylor,Drama
47,Indiana Jones and the Temple of Doom,1984,118 ,7.5,57        ,"532,419",$179.87M,Steven Spielberg,Harrison Ford,Action
48,"Paris, je t'aime",2006,120 ,7.2,66        ,"74,397",$4.86M,Olivier Assayas,Frédéric Auburtin,Comedy
49,Get Him to the Greek,2010,109 ,6.3,65        ,"185,083",$60.97M,Nicholas Stoller,Jonah Hill,Comedy
50,Scream,1996,111 ,7.4,66        ,"385,428",$103.05M,Wes Craven,Neve Campbell,Horror
51,Iron Man Three,2013,130 ,7.1,62        ,"894,136",$409.01M,Shane Black,Robert Downey Jr.,Action
52,The Village,2004,108 ,6.6,44        ,"276,224",$114.20M,M. Night Shyamalan,Sigourney Weaver,Drama
53,21 Jump Street,2012,109 ,7.2,69        ,"594,549",$138.45M,Phil Lord,Christopher Miller,Action
54,Pacific Rim,2013,131 ,6.9,65        ,"527,659",$101.80M,Guillermo del Toro,Idris Elba,Action
55,Shoot 'Em Up,2007,86 ,6.6,49        ,"154,637",$12.81M,Michael Davis,Clive Owen,Action
56,Angels with Dirty Faces,1938,97 ,7.9,nan,"23,078",nan,Michael Curtiz,James Cagney,Crime
57,Rachel Getting Married,2008,113 ,6.7,85        ,"51,009",$12.80M,Jonathan Demme,Anne Hathaway,Drama
58,Planet Terror,2007,105 ,7,nan,"222,164",nan,Robert Rodriguez,Rose McGowan,Action
59,Private Parts,1997,109 ,6.9,67        ,"39,051",$41.20M,Betty Thomas,Howard Stern,Biography
60,Spring Breakers,2012,94 ,5.3,63        ,"148,087",$14.12M,Harmony Korine,Vanessa Hudgens,Crime
61,Wag the Dog,1997,97 ,7.1,74        ,"88,120",$43.02M,Barry Levinson,Dustin Hoffman,Comedy
62,Margin Call,2011,107 ,7.1,76        ,"143,138",$5.35M,J.C. Chandor,Zachary Quinto,Drama
63,Cinderella Man,2005,144 ,8,69        ,"197,422",$61.65M,Ron Howard,Russell Crowe,Biography
64,"Paris, Texas",1984,145 ,8.1,81        ,"117,031",$2.18M,Wim Wenders,Harry Dean Stanton,Drama            
65,Prisoners,2013,153 ,8.1,70        ,"798,909",$61.00M,Denis Villeneuve,Hugh Jackman,Crime
66,Bone Tomahawk,2015,132 ,7.1,72        ,"116,658",nan,S. Craig Zahler,Kurt Russell,Drama
67,Westworld,1973,88 ,6.9,77        ,"62,626",$16.06M,Michael Crichton,Yul Brynner,Action
68,The Hateful Eight,2015,168 ,7.8,68        ,"653,901",$54.12M,Quentin Tarantino,Samuel L. Jackson,Crime
69,Room, 2015,118 ,8.1,86        ,"447,229",$14.68M,Lenny Abrahamson,Brie Larson,Drama
70,The Nice Guys,2016,116 ,7.4,70        ,"368,513",$36.26M,Shane Black,Russell Crowe,Action
71,Hell or High Water, 2016,102 ,7.6,88        ,"250,484",$27.01M,David Mackenzie,Chris Pine,Crime
72,Nocturnal Animals,2016,116 ,7.5,67        ,"302,262",$10.66M,Tom Ford,Amy Adams,Drama
73,Spotlight, 2015,129 ,8.1,93        ,"498,930",$45.06M,Tom McCarthy,Mark Ruffalo,Biography
74,Tenet,2020,150 ,7.3,69        ,"582,847",$58.46M,Christopher Nolan,John David Washington,Action
75,The Loved Ones,2009,84 ,6.6,73        ,"43,810",nan,Sean Byrne,Xavier Samuel,Crime
76,"Good Morning, Vietnam",1987,121 ,7.3,67        ,"152,614",$123.92M,Barry Levinson,Robin Williams,Biography
77,Badlands,1973,94 ,7.7,93        ,"77,924",nan,Terrence Malick,Martin Sheen,Action
78,The Class of '92,2013,99 ,7.9,nan,"8,785",nan,Ben Turner,Gabe Turner,Documentary
79,Withnail & I,1987,107 ,7.5,84        ,"47,566",$1.54M,Bruce Robinson,Richard E. Grant,Comedy
80,Bowfinger,1999,97 ,6.5,73        ,"73,631",$66.38M,Frank Oz,Steve Martin,Comedy            
81,Diamonds Are Forever,1971,120 ,6.5,59        ,"113,528",$43.82M,Guy Hamilton,Sean Connery,Action
82,Live and Let Die,1973,121 ,6.7,55        ,"114,830",$35.38M,Guy Hamilton,Roger Moore,Action
83,127 Hours,2010,94 ,7.5,82        ,"398,808",$18.34M,Danny Boyle,James Franco,Biography
84,Jacob's Ladder, 1990,113 ,7.4,62        ,"117,182",$26.12M,Adrian Lyne,Tim Robbins,Drama
85,Black Hawk Down,2001,144 ,7.7,74        ,"421,002",$108.64M,Ridley Scott,Josh Hartnett,Action
86,Machete,2010,105 ,6.6,60        ,"203,510",$26.59M,Ethan Maniquis,Robert Rodriguez,Action
87,The Adventures of Tintin,2011,107 ,7.3,68        ,"242,161",$77.59M,Steven Spielberg,Jamie Bell,Animation
88,Mission: Impossible II,2000,123 ,6.1,59        ,"375,443",$215.41M,John Woo,Tom Cruise,Action
89,A Matter of Life and Death,1946,104 ,8,nan,"24,524",nan,Michael Powell,Emeric Pressburger,Drama
90,Kubo and the Two Strings,2016,101 ,7.7,84        ,"137,773",$48.02M,Travis Knight,Charlize Theron,Animation
91,Arbitrage,2012,107 ,6.6,73        ,"54,608",$7.92M,Nicholas Jarecki,Richard Gere,Drama
92,Ringu,1998,96 ,7.2,nan,"76,850",nan,Hideo Nakata,Nanako Matsushima,Horror
93,Suspiria,1977,99 ,7.3,79        ,"104,371",nan,Dario Argento,Jessica Harper,Horror            
94,Carrie,1976,98 ,7.4,86        ,"205,199",$33.80M,Brian De Palma,Sissy Spacek,Horror
95,Dark City,1998,100 ,7.6,66        ,"211,009",$14.38M,Alex Proyas,Rufus Sewell,Fantasy
96,Breakfast at Tiffany's,1961,115 ,7.6,77        ,"191,084",nan,Blake Edwards,Audrey Hepburn,Comedy
97,Thirteen Days,2000,145 ,7.3,67        ,"62,354",$34.59M,Roger Donaldson,Kevin Costner,Drama
98,Source Code,2011,93 ,7.5,74        ,"546,736",$54.71M,Duncan Jones,Jake Gyllenhaal,Action
99,The Jungle Book,2016,106 ,7.4,77        ,"290,729",$364.00M,Jon Favreau,Neel Sethi,Animation
0,Supersonic,2016,122 ,7.8,71        ,"12,334",$0.24M,Mat Whitecross,Paul Arthurs,Documentary
1,The Killing,1956,84 ,7.9,91        ,"96,776",nan,Stanley Kubrick,Sterling Hayden,Crime
2,True Lies,1994,141 ,7.3,63        ,"278,821",$146.28M,James Cameron,Arnold Schwarzenegger,Action
3,Swimming with Sharks,1994,93 ,7,66        ,"24,950",$0.38M,George Huang,Kevin Spacey,Comedy
4,Nurse Betty,2000,110 ,6.3,69        ,"36,113",$25.17M,Neil LaBute,Renée Zellweger,Comedy
5,Henry: Portrait of a Serial Killer,1986,83 ,7,80        ,"40,152",$0.61M,John McNaughton,Michael Rooker,Biography
6,Buffalo '66,1998,110 ,7.4,69        ,"59,562",$2.38M,Vincent Gallo,Vincent Gallo,Comedy
7,Der Untergang,2004,156 ,8.2,82        ,"373,024",$5.51M,Oliver Hirschbiegel,Bruno Ganz,Biography
8,Star Wars: Episode I - The Phantom Menace,1999,136 ,6.5,51        ,"850,627",$474.54M,George Lucas,Ewan McGregor,Action
9,Risky Business,1983,99 ,6.8,75        ,"99,017",$63.50M,Paul Brickman,Tom Cruise,Comedy
10,The Last King of Scotland,2006,123 ,7.6,74        ,"195,219",$17.61M,Kevin Macdonald,James McAvoy,Biography
11,Short Cuts,1993,188 ,7.6,81        ,"47,184",$6.11M,Robert Altman,Andie MacDowell,Comedy
12,Witness,1985,112 ,7.4,76        ,"103,837",$68.71M,Peter Weir,Harrison Ford,Drama
13,The Limey,1999,89 ,6.9,73        ,"34,613",$3.19M,Steven Soderbergh,Terence Stamp,Crime
14,Cast Away,2000,143 ,7.8,73        ,"634,038",$233.63M,Robert Zemeckis,Tom Hanks,Adventure
15,Gangster No. 1,2000,103 ,6.7,60        ,"14,501",$0.03M,Paul McGuigan,Malcolm McDowell,Crime
16,The Godfather Part III,1990,162 ,7.6,60        ,"421,565",$66.67M,Francis Ford Coppola,Al Pacino,Crime
17,The Crow,1994,102 ,7.5,71        ,"198,070",$50.69M,Alex Proyas,Brandon Lee,Action
18,Eastern Promises,2007,100 ,7.6,83        ,"259,411",$17.11M,David Cronenberg,Naomi Watts,Crime
19,The Hobbit: The Desolation of Smaug,2013,161 ,7.8,66        ,"700,378",$258.37M,Peter Jackson,Ian McKellen,Adventure
20,Manhattan,1979,96 ,7.8,83        ,"146,496",$45.70M,Woody Allen,Woody Allen,Comedy
21,Kingpin,1996,114 ,6.9,43        ,"90,510",$24.94M,Bobby Farrelly,Peter Farrelly,Comedy
22,Quantum of Solace,2008,106 ,6.6,58        ,"468,751",$168.37M,Marc Forster,Daniel Craig,Action
23,El mariachi,1992,81 ,6.8,73        ,"70,962",$2.04M,Robert Rodriguez,Carlos Gallardo,Action
24,Big Trouble in Little China,1986,99 ,7.2,53        ,"152,644",$11.10M,John Carpenter,Kurt Russell,Action
25,The Sting,1973,129 ,8.3,83        ,"277,967",$159.60M,George Roy Hill,Paul Newman,Comedy
26,Apollo 13, 1995,140 ,7.7,78        ,"313,397",$173.84M,Ron Howard,Tom Hanks,Adventure
27,Noah,2014,138 ,5.8,68        ,"265,289",$101.20M,Darren Aronofsky,Russell Crowe,Action
28,Once, 2007,86 ,7.8,90        ,"120,916",$9.44M,John Carney,Glen Hansard,Drama
29,Captain Fantastic,2016,118 ,7.8,72        ,"233,393",$5.88M,Matt Ross,Viggo Mortensen,Comedy
30,Lord of War,2005,122 ,7.6,62        ,"335,004",$24.15M,Andrew Niccol,Nicolas Cage,Crime
31,The Last of the Mohicans,1992,112 ,7.7,76        ,"186,009",$75.51M,Michael Mann,Daniel Day-Lewis,Action
32,Lone Survivor,2013,121 ,7.5,60        ,"305,065",$125.10M,Peter Berg,Mark Wahlberg,Action
33,Jumanji,1995,104 ,7.1,39        ,"373,859",$100.48M,Joe Johnston,Robin Williams,Adventure
34,Apocalypto,2006,139 ,7.8,68        ,"329,145",$50.87M,Mel Gibson,Gerardo Taracena,Action
35,Youth in Revolt,2009,90 ,6.4,63        ,"75,899",$15.28M,Miguel Arteta,Michael Cera,Comedy
36,Lords of Dogtown,2005,107 ,7.1,56        ,"57,888",$11.01M,Catherine Hardwicke,Heath Ledger,Biography
37,Team America: World Police,2004,98 ,7.2,64        ,"177,840",$32.79M,Trey Parker,Trey Parker,Action
38,After Hours, 1985,97 ,7.6,90        ,"79,906",$10.60M,Martin Scorsese,Griffin Dunne,Comedy
39,Man on the Moon,1999,118 ,7.4,58        ,"136,897",$34.58M,Milos Forman,Jim Carrey,Biography
40,Trolljegeren,2010,103 ,6.9,61        ,"79,063",$0.25M,André Øvredal,Otto Jespersen,Drama
41,Snitch,1998,93 ,6.6,71        ,"1,874",$0.33M,Ted Demme,Denis Leary,Crime
42,Heavenly Creatures,1994,99 ,7.3,86        ,"67,101",$3.05M,Peter Jackson,Melanie Lynskey,Biography
43,Monsoon Wedding,2001,114 ,7.3,77        ,"26,606",$13.88M,Mira Nair,Naseeruddin Shah,Comedy
44,The Sweet Hereafter,1997,112 ,7.5,91        ,"36,609",$3.25M,Atom Egoyan,Ian Holm,Drama            
45,Cube,1997,90 ,7.1,61        ,"246,371",$0.50M,Vincenzo Natali,Nicole de Boer,Horror
46,Breaking the Waves,1996,159 ,7.8,82        ,"71,195",$4.04M,Lars von Trier,Emily Watson,Drama            
47,The Man with Two Brains,1983,93 ,6.4,61        ,"27,724",$10.10M,Carl Reiner,Steve Martin,Comedy
48,Birdman or (The Unexpected Virtue of Ignorance),2014,119 ,7.7,87        ,"662,969",$42.34M,Alejandro G. Iñárritu,Michael Keaton,Comedy
49,Beverly Hills Cop,1984,105 ,7.4,66        ,"200,356",$234.76M,Martin Brest,Eddie Murphy,Action
50,The Ring,2002,115 ,7.1,57        ,"372,590",$129.13M,Gore Verbinski,Naomi Watts,Horror
51,Kids,1995,91 ,7,63        ,"84,111",$7.42M,Larry Clark,Leo Fitzpatrick,Drama            
52,Hearts of Darkness: A Filmmaker's Apocalypse,1991,96 ,8.1,nan,"23,031",$1.32M,Fax Bahr,George Hickenlooper,Documentary            
53,Roger Dodger,2002,106 ,6.8,75        ,"17,885",$1.27M,Dylan Kidd,Campbell Scott,Comedy
54,Hard Candy,2005,104 ,7,58        ,"167,518",$1.01M,David Slade,Patrick Wilson,Drama
55,Sicko,2007,123 ,8,74        ,"76,722",$24.54M,Michael Moore,Michael Moore,Documentary
56,Lenny,1974,111 ,7.5,61        ,"17,443",$8.43M,Bob Fosse,Dustin Hoffman,Biography
57,Persepolis,2007,96 ,8,90        ,"99,596",$4.45M,Vincent Paronnaud,Marjane Satrapi,Animation
58,The Others,2001,101 ,7.6,74        ,"390,818",$96.52M,Alejandro Amenábar,Nicole Kidman,Horror
59,Bill & Ted's Excellent Adventure,1989,90 ,6.9,50        ,"140,888",$40.49M,Stephen Herek,Keanu Reeves,Adventure
60,Zoolander,2001,90 ,6.5,61        ,"290,023",$45.17M,Ben Stiller,Ben Stiller,Comedy            
61,Rescue Dawn,2006,125 ,7.3,77        ,"110,446",$5.49M,Werner Herzog,Christian Bale,Adventure
62,Rear Window,1954,112 ,8.5,100        ,"518,836",$36.76M,Alfred Hitchcock,James Stewart,Mystery
63,Being There,1979,130 ,7.9,83        ,"77,183",$30.18M,Hal Ashby,Peter Sellers,Comedy
64,Fear and Loathing in Las Vegas,1998,118 ,7.5,41        ,"299,934",$10.68M,Terry Gilliam,Johnny Depp,Adventure
65,John Wick,2014,101 ,7.4,68        ,"733,386",$43.04M,Chad Stahelski,David Leitch,Action
66,Rope,1948,80 ,7.9,73        ,"152,683",nan,Alfred Hitchcock,James Stewart,Crime
67,Enter the Dragon,1973,102 ,7.6,83        ,"112,365",$25.00M,Robert Clouse,Bruce Lee,Action
68,Wayne's World,1992,94 ,7,57        ,"169,521",$121.70M,Penelope Spheeris,Mike Myers,Comedy
69,This Is Spinal Tap,1984,82 ,7.9,92        ,"146,481",$4.74M,Rob Reiner,Rob Reiner,Comedy
70,Old School,2003,88 ,7,54        ,"242,336",$75.59M,Todd Phillips,Luke Wilson,Comedy            
71,Top Five,2014,102 ,6.4,81        ,"27,490",$25.28M,Chris Rock,Chris Rock,Comedy
72,All About Eve,1950,138 ,8.2,98        ,"137,994",$0.01M,Joseph L. Mankiewicz,Bette Davis,Drama            
73,Scum,1979,98 ,7.6,78        ,"12,953",nan,Alan Clarke,Ray Winstone,Crime
74,Blackfish,2013,83 ,8.1,83        ,"71,907",$2.07M,Gabriela Cowperthwaite,Tilikum,Documentary            
75,The Martian,2015,144 ,8,80        ,"915,171",$228.43M,Ridley Scott,Matt Damon,Adventure
76,The Cove,2009,92 ,8.4,84        ,"51,295",$0.87M,Louie Psihoyos,Richard O'Barry,Documentary
77,Dope,2015,103 ,7.2,72        ,"89,010",$17.51M,Rick Famuyiwa,Shameik Moore,Adventure
78,Steve Jobs,2015,122 ,7.2,82        ,"177,746",$17.77M,Danny Boyle,Michael Fassbender,Biography
79,First Blood,1982,93 ,7.7,61        ,"273,224",$47.21M,Ted Kotcheff,Sylvester Stallone,Action
80,A Nightmare on Elm Street,1984,91 ,7.4,76        ,"260,582",$25.50M,Wes Craven,Heather Langenkamp,Horror            
81,You Only Live Twice,1967,117 ,6.8,61        ,"116,906",$43.08M,Lewis Gilbert,Sean Connery,Action
82,Bronson,2008,92 ,7,71        ,"140,169",$0.10M,Nicolas Winding Refn,Tom Hardy,Action
83,Project Nim,2011,93 ,7.4,83        ,"8,585",$0.41M,James Marsh,Nim Chimpsky,Documentary            
84,Three Days of the Condor,1975,117 ,7.4,63        ,"61,823",$41.51M,Sydney Pollack,Robert Redford,Crime
85,Sullivan's Travels,1941,90 ,7.9,nan,"28,330",nan,Preston Sturges,Joel McCrea,Adventure
86,Cape Fear,1991,128 ,7.3,73        ,"214,752",$79.10M,Martin Scorsese,Robert De Niro,Crime
87,Glory,1989,122 ,7.8,78        ,"143,467",$26.83M,Edward Zwick,Matthew Broderick,Biography
88,Pink Flamingos,1972,93 ,6,47        ,"27,635",$0.18M,John Waters,Divine,Comedy
89,Eraserhead,1977,89 ,7.3,87        ,"126,319",$7.00M,David Lynch,Jack Nance,Fantasy
90,Tucker and Dale vs Evil,2010,89 ,7.5,65        ,"192,392",$0.22M,Eli Craig,Tyler Labine,Comedy
91,The Man Who Wasn't There,2001,116 ,7.5,73        ,"114,570",$7.49M,Joel Coen,Billy Bob Thornton,Crime
92,Django,1966,91 ,7.2,75        ,"30,722",$0.03M,Sergio Corbucci,Franco Nero,Action
93,Singin' in the Rain,1952,103 ,8.3,99        ,"258,767",$8.82M,Stanley Donen,Gene Kelly,Comedy
94,Auto Focus,2002,105 ,6.6,66        ,"14,843",$2.06M,Paul Schrader,Greg Kinnear,Biography
95,The Iron Giant,1999,86 ,8.1,85        ,"224,426",$23.16M,Brad Bird,Eli Marienthal,Animation
96,Mononoke-hime,1997,134 ,8.3,76        ,"429,188",$2.38M,Hayao Miyazaki,Yôji Matsuda,Animation
97,Mission: Impossible - Rogue Nation,2015,131 ,7.4,75        ,"408,202",$195.04M,Christopher McQuarrie,Tom Cruise,Action
98,Double Indemnity,1944,107 ,8.3,95        ,"166,406",$5.72M,Billy Wilder,Fred MacMurray,Crime
99,Aladdin,1992,90 ,8,86        ,"462,282",$217.35M,Ron Clements,John Musker,Animation
0,It Follows,2014,100 ,6.8,83        ,"266,522",$14.67M,David Robert Mitchell,Maika Monroe,Horror
1,Fast & Furious 7,2015,137 ,7.1,67        ,"412,731",$353.01M,James Wan,Vin Diesel,Action
2,King Kong,1933,100 ,7.9,92        ,"90,351",$10.00M,Merian C. Cooper,Ernest B. Schoedsack,Adventure
3,Spring, 2014,109 ,6.7,70        ,"31,143",$0.05M,Justin Benson,Aaron Moorhead,Horror
4,Sicario,2015,121 ,7.7,82        ,"469,079",$46.89M,Denis Villeneuve,Emily Blunt,Action
5,Awakenings,1990,121 ,7.8,74        ,"157,158",$52.10M,Penny Marshall,Robert De Niro,Biography
6,Young Adult,2011,94 ,6.3,71        ,"87,369",$16.31M,Jason Reitman,Charlize Theron,Comedy
7,Blow-Up,1966,111 ,7.5,82        ,"67,213",nan,Michelangelo Antonioni,David Hemmings,Drama
8,The Long Goodbye,1973,112 ,7.5,87        ,"36,539",$0.96M,Robert Altman,Elliott Gould,Comedy
9,Spartacus,1960,197 ,7.9,87        ,"142,322",$30.00M,Stanley Kubrick,Anthony Mann,Adventure
10,Ronin,1998,122 ,7.2,67        ,"193,942",$41.62M,John Frankenheimer,Robert De Niro,Action
11,Mad Max,1979,88 ,6.8,73        ,"220,349",$8.75M,George Miller,Mel Gibson,Action
12,Touch of Evil,1958,95 ,8,99        ,"109,329",$2.24M,Orson Welles,Charlton Heston,Crime
13,Nymphomaniac: Vol. I,2013,117 ,6.9,64        ,"130,869",$0.79M,Lars von Trier,Charlotte Gainsbourg,Drama            
14,Ong-Bak,2003,108 ,7.1,69        ,"77,854",$4.56M,Prachya Pinkaew,Tony Jaa,Action
15,Manhattan Melodrama,1934,93 ,7.1,nan,"4,772",nan,W.S. Van Dyke,Jack Conway,Crime
16,Boyhood, 2014,165 ,7.9,100        ,"365,991",$25.38M,Richard Linklater,Ellar Coltrane,Drama            
17,Terms of Endearment,1983,132 ,7.4,79        ,"64,988",$108.42M,James L. Brooks,Shirley MacLaine,Comedy
18,The Master,2012,138 ,7.1,86        ,"185,215",$16.38M,Paul Thomas Anderson,Joaquin Phoenix,Drama
19,How to Train Your Dragon 2,2014,102 ,7.8,77        ,"361,185",$177.00M,Dean DeBlois,Jay Baruchel,Animation
20,What We Do in the Shadows,2014,86 ,7.6,76        ,"198,844",$3.33M,Jemaine Clement,Taika Waititi,Comedy
21,Roger & Me,1989,91 ,7.5,70        ,"27,451",$6.71M,Michael Moore,Michael Moore,Documentary            
22,Role Models,2008,99 ,6.8,61        ,"240,218",$67.29M,David Wain,Paul Rudd,Comedy            
23,Wayne's World 2,1993,95 ,6.2,60        ,"87,724",$48.20M,Stephen Surjik,Mike Myers,Comedy
24,The Warriors,1979,93 ,7.5,65        ,"109,794",$22.49M,Walter Hill,Michael Beck,Action
25,The Castle,1997,85 ,7.6,nan,"17,382",$0.86M,Rob Sitch,Michael Caton,Comedy
26,Home Alone 2: Lost in New York,1992,120 ,6.9,46        ,"400,164",$173.59M,Chris Columbus,Macaulay Culkin,Adventure
27,Final Destination 2,2003,90 ,6.2,38        ,"180,672",$46.96M,David R. Ellis,A.J. Cook,Horror
28,Mean Streets,1973,112 ,7.2,96        ,"118,696",$3.13M,Martin Scorsese,Robert De Niro,Crime
29,The Full Monty,1997,91 ,7.2,75        ,"113,604",$45.95M,Peter Cattaneo,Robert Carlyle,Comedy
30,Fast Times at Ridgemont High,1982,90 ,7.1,61        ,"114,884",$27.09M,Amy Heckerling,Sean Penn,Comedy
31,Black Dynamite,2009,84 ,7.4,65        ,"51,592",$0.23M,Scott Sanders,Michael Jai White,Action
